Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1
Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
0,000	0,000			0,0000			
0,040	0,000	0,000		0,0000	0,000		
0,080	0,000	0,000	0,000	0,0000	0,000	0,000	12,0
0,120	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
0,160	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
0,240	0,000	0,000	0,000	0,0000	0,000	0,000	12,3
0,280	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
0,320	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
0,360	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
0,440	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
0,480	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
0,520	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
0,560	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
0,600	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
0,640	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
0,680	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
0,720	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
0,760	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
0,840	0,000	0,000	0,000	0,0000	0,000	0,000	11,6
0,880	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
0,920	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
0,960	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,000	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
1,040	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,080	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
1,120	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
1,160	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,200	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,240	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,280	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,320	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,360	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
1,400	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
1,440	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
1,480	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,520	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
1,560	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,600	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
1,640	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
1,680	0,000	0,000	0,000	0,0000	0,000	0,000	11,8
1,720	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,760	0,000	0,000	0,000	0,0000	0,000	0,000	11,6
1,800	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
1,840	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
1,880	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
1,920	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
1,960	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,000	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,040	0,000	0,000	0,000	0,0000	0,000	0,000	11,6
2,080	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
2,120	0,000	0,000	0,000	0,0000	0,000	0,000	11,6
2,160	0,000	0,000	0,000	0,0000	0,000	0,000	11,3
2,200	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,240	0,000	0,000	0,000	0,0000	0,000	0,000	13,0
2,280	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
2,320	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,360	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,400	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
2,440	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
2,480	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,520	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,560	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,600	0,000	0,000	0,000	0,0000	0,000	0,000	11,3
2,640	0,000	0,000	0,000	0,0000	0,000	0,000	12,8
2,680	0,000	0,000	0,000	0,0000	0,000	0,000	11,5
2,720	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
2,760	0,000	0,000	0,000	0,0000	0,000	0,000	11,3
2,800	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
2,840	0,000	0,000	0,000	0,0000	0,000	0,000	11,2
2,880	0,000	0,000	0,000	0,0000	0,000	0,000	11,3
2,920	0,000	0,000	0,000	0,0000	0,000	0,000	11,3
2,960	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
3,000	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
3,040	0,000	0,000	0,000	0,0000	0,000	0,000	11,4
3,080	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
3,120	0,000	0,000	0,000	0,0000	0,000	0,000	11,7
3,160	0,000	0,000	0,000	0,0000	0,000	0,000	11,9
3,200	0,000	0,000	0,000	0,0000	0,000	0,000	12,1
3,240	0,000	0,000	0,000	0,0000	0,000	0,000	12,1
3,280	0,000	0,000	0,000	0,0000	0,000	0,000	13,6
3,320	0,000	0,000	0,000	0,0000	0,000	0,000	12,1
3,360	0,000	0,000	0,000	0,0000	0,000	0,000	12,2
3,400	0,000	0,000	0,000	0,0000	0,000	0,000	12,1
3,440	0,000	0,000	0,000	0,0000	0,000	0,000	12,2
3,480	0,000	0,000	0,000	0,0000	0,000	0,000	12,4
3,520	0,000	0,000	0,000	0,0000	0,000	0,000	12,4
3,560	0,000	0,000	0,000	0,0000	0,000	0,000	13,0
3,600	0,000	0,000	0,000	0,0000	0,000	0,000	13,6
3,640	0,000	0,000	0,000	0,0000	0,000	0,000	13,7
3,680	0,000	0,000	0,000	0,0000	0,000	0,000	13,7
3,720	0,000	0,000	0,000	0,0000	0,000	0,000	14,2
3,760	0,000	0,000	0,000	0,0000	0,000	0,000	14,7
3,800	0,000	0,000	0,000	0,0000	0,000	0,000	15,6
3,840	0,000	0,000	0,000	0,0000	0,000	0,000	16,0
3,880	0,000	0,000	0,000	0,0000	0,000	0,000	16,5
3,920	0,000	0,000	0,000	0,0000	0,000	0,000	17,4
3,960	0,000	0,000	0,000	0,0000	0,000	0,000	17,9
4,000	0,000	0,000	0,000	0,0000	0,000	0,000	18,8
4,040	0,000	0,000	0,000	0,0000	0,000	0,000	22,4
4,080	0,000	0,000	0,000	0,0000	0,000	0,000	24,9
4,120	0,000	0,000	0,000	0,0000	0,000	0,000	27,4
4,160	0,000	0,000	0,000	0,0000	0,000	0,000	27,1
4,200	0,000	0,000	0,000	0,0000	0,000	0,000	27,8
4,240	0,000	0,000	0,000	0,0000	0,000	0,000	28,9
4,280	0,000	0,000	0,000	0,0000	0,000	0,000	25,0
4,320	0,000	0,000	0,000	0,0000	0,000	0,000	25,1
4,360	0,000	0,000	0,000	0,0000	0,000	0,000	22,9
4,400	0,000	0,000	0,000	0,0000	0,000	0,000	23,4
4,440	0,000	0,000	0,000	0,0000	0,000	0,000	20,1
4,480	0,000	0,000	0,000	0,0000	0,000	0,000	20,3
4,520	0,000	0,000	0,000	0,0000	0,000	0,000	20,2
4,560	0,000	0,000	0,000	0,0000	0,000	0,000	20,4
4,600	0,000	0,000	0,000	0,0000	0,000	0,000	18,6
4,640	0,000	0,000	0,000	0,0000	0,000	0,000	18,8
4,680	0,000	0,000	0,000	0,0000	0,000	0,000	21,1
4,720	0,000	0,000	0,000	0,0000	0,000	0,000	20,1
4,760	0,000	0,000	0,000	0,0000	0,000	0,000	20,7
4,800	0,000	0,000	0,000	0,0000	0,000	0,000	22,8
4,840	0,000	0,000	0,000	0,0000	0,000	0,000	24,3
4,880	0,000	0,000	0,000	0,0000	0,000	0,000	23,1
4,920	0,000	0,000	0,000	0,0000	0,000	0,000	26,2
4,960	0,000	0,000	0,000	0,0000	0,000	0,000	28,1
5,000	0,000	0,000	0,000	0,0000	0,000	0,000	28,3
5,040	0,000	0,000	0,000	0,0000	0,000	0,000	29,1
5,080	0,000	0,000	0,000	0,0000	0,000	0,000	29,9
5,120	0,000	0,000	0,000	0,0000	0,000	0,000	32,5
5,160	0,000	0,000	0,000	0,0000	0,000	0,000	36,3
5,200	0,000	0,000	0,000	0,0000	0,000	0,000	37,9
5,240	0,000	0,000	0,000	0,0000	0,000	0,000	39,0
5,280	0,000	0,000	0,000	0,0000	0,000	0,000	40,1
5,320	0,000	0,000	0,000	0,0000	0,000	0,000	40,1
5,360	0,000	0,000	8,181	0,0000	0,000	0,195	46,1
5,400	0,000	0,654	27,271	0,0000	0,016	0,651	49,0
5,440	0,052	2,182	40,906	0,0012	0,052	0,977	53,4
5,480	0,175	3,927	35,452	0,0042	0,094	0,846	60,9
5,520	0,367	5,018	19,090	0,0087	0,120	0,456	67,5
5,560	0,576	5,454	10,908	0,0137	0,130	0,260	97,1
5,600	0,803	5,890	-2,727	0,0192	0,141	-0,065	98,6
5,640	1,047	5,236	-19,090	0,0250	0,125	-0,456	98,6
5,680	1,222	4,363	-8,181	0,0292	0,104	-0,195	98,6
5,720	1,396	4,581	13,635	0,0333	0,109	0,326	52,1
5,760	1,588	5,454	19,090	0,0379	0,130	0,456	19,2
5,800	1,833	6,109	5,454	0,0437	0,146	0,130	11,5
5,840	2,077	5,890	-8,181	0,0496	0,141	-0,195	9,7
5,880	2,304	5,454	-10,908	0,0550	0,130	-0,260	9,7
5,920	2,513	5,018	-10,908	0,0600	0,120	-0,260	7,7
5,960	2,705	4,581	-2,727	0,0646	0,109	-0,065	7,9
6,000	2,880	4,800	16,362	0,0687	0,115	0,391	6,4
6,040	3,089	5,890	27,271	0,0737	0,141	0,651	5,9
6,080	3,351	6,981	24,544	0,0800	0,167	0,586	5,4
6,120	3,648	7,854	10,908	0,0871	0,187	0,260	4,9
6,160	3,979	7,854	-8,181	0,0950	0,187	-0,195	4,4
6,200	4,276	7,199	-8,181	0,1021	0,172	-0,195	4,1
6,240	4,555	7,199	-2,109E-13	0,1087	0,172	-2,082E-15	3,6
6,280	4,852	7,199	-13,635	0,1158	0,172	-0,326	3,3
6,320	5,131	6,109	-21,817	0,1225	0,146	-0,521	2,9
6,360	5,341	5,454	-16,362	0,1275	0,130	-0,391	2,6
6,400	5,568	4,800	-16,362	0,1329	0,115	-0,391	2,5
6,440	5,725	4,145	-2,727	0,1367	0,099	-0,065	2,2
6,480	5,899	4,581	2,727	0,1408	0,109	0,065	2,1
6,520	6,091	4,363	2,727	0,1454	0,104	0,065	2,1
6,560	6,248	4,800	27,271	0,1492	0,115	0,651	2,1
6,600	6,475	6,545	40,906	0,1546	0,156	0,977	1,9
6,640	6,772	8,072	24,544	0,1617	0,193	0,586	1,9
6,680	7,121	8,508	2,727	0,1700	0,203	0,065	1,8
6,720	7,453	8,290	-2,727	0,1779	0,198	-0,065	1,6
6,760	7,784	8,290	-8,181	0,1858	0,198	-0,195	1,5
6,800	8,116	7,636	-29,998	0,1937	0,182	-0,716	1,4
6,840	8,395	5,890	-46,360	0,2004	0,141	-1,107	1,2
6,880	8,587	3,927	-43,633	0,2050	0,094	-1,042	1,1
6,920	8,709	2,400	-24,544	0,2079	0,057	-0,586	1,1
6,960	8,779	1,963	-5,454	0,2096	0,047	-0,130	1,0
