Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1
Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
0,000	0,000			0,0000			
0,040	0,000	0,000		0,0000	0,000		
0,080	0,000	0,000	0,000	0,0000	0,000	0,000	
0,120	0,000	0,000	0,000	0,0000	0,000	0,000	
0,160	0,000	0,000	0,000	0,0000	0,000	0,000	98,4
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,240	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,280	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,320	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,360	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,440	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,480	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,520	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,560	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,600	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,640	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,680	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,720	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,760	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,840	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,880	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,920	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
0,960	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,000	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,040	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,080	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,120	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,160	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,200	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,240	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,280	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,320	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,360	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,400	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,440	0,000	0,000	0,000	0,0000	0,000	0,000	98,5
1,480	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,520	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,560	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,600	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,640	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,680	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,720	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,760	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,800	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,840	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,880	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,920	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
1,960	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
2,000	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
2,040	0,000	0,000	0,000	0,0000	0,000	0,000	98,7
2,080	0,000	0,000	0,000	0,0000	0,000	0,000	98,7
2,120	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
2,160	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
2,200	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
2,240	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
2,280	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
2,320	0,000	0,000	0,000	0,0000	0,000	0,000	98,6
2,360	0,000	0,000	5,454	0,0000	0,000	0,130	98,6
2,400	0,000	0,436	21,817	0,0000	0,010	0,521	98,6
2,440	0,035	1,745	24,544	8,3333E-4	0,042	0,586	98,6
2,480	0,140	2,400	13,635	0,0033	0,057	0,326	98,6
2,520	0,227	2,836	16,362	0,0054	0,068	0,391	98,6
2,560	0,367	3,709	8,181	0,0087	0,089	0,195	98,6
2,600	0,524	3,491	-5,454	0,0125	0,083	-0,130	98,6
2,640	0,646	3,272	-2,727	0,0154	0,078	-0,065	98,6
2,680	0,785	3,272	-5,454	0,0188	0,078	-0,130	98,6
2,720	0,908	2,836	1,665E-14	0,0217	0,068	5,204E-16	98,6
2,760	1,012	3,272	13,635	0,0242	0,078	0,326	98,6
2,800	1,169	3,927	5,454	0,0279	0,094	0,130	98,6
2,840	1,326	3,709	-2,331E-13	0,0317	0,089	-5,898E-15	98,6
2,880	1,466	3,927	8,181	0,0350	0,094	0,195	98,5
2,920	1,641	4,363	8,181	0,0392	0,104	0,195	67,5
2,960	1,815	4,581	5,454	0,0433	0,109	0,130	40,5
3,000	2,007	4,800	5,454	0,0479	0,115	0,130	25,5
3,040	2,199	5,018	8,181	0,0525	0,120	0,195	18,5
3,080	2,409	5,454	5,454	0,0575	0,130	0,130	15,1
3,120	2,635	5,454	-5,454	0,0629	0,130	-0,130	13,5
3,160	2,845	5,018	-13,635	0,0679	0,120	-0,326	12,5
3,200	3,037	4,363	-19,090	0,0725	0,104	-0,456	11,5
3,240	3,194	3,491	-19,090	0,0762	0,083	-0,456	10,7
3,280	3,316	2,836	-8,181	0,0792	0,068	-0,195	9,8
3,320	3,421	2,836	2,727	0,0817	0,068	0,065	9,1
3,360	3,543	3,054	2,727	0,0846	0,073	0,065	8,6
3,400	3,665	3,054	-1,443E-13	0,0875	0,073	-5,204E-15	8,1
3,440	3,787	3,054	-1,388E-13	0,0904	0,073	0,000	7,8
3,480	3,910	3,054	0,000	0,0933	0,073	2,255E-15	7,5
3,520	4,032	3,054	2,727	0,0962	0,073	0,065	7,3
3,560	4,154	3,272	8,181	0,0992	0,078	0,195	7,0
3,600	4,294	3,709	10,908	0,1025	0,089	0,260	6,8
3,640	4,451	4,145	10,908	0,1062	0,099	0,260	6,5
3,680	4,625	4,581	10,908	0,1104	0,109	0,260	6,3
3,720	4,817	5,018	5,454	0,1150	0,120	0,130	6,2
3,760	5,027	5,018	-2,727	0,1200	0,120	-0,065	6,0
3,800	5,219	4,800	-10,908	0,1246	0,115	-0,260	5,8
3,840	5,411	4,145	-19,090	0,1292	0,099	-0,456	5,5
3,880	5,550	3,272	-13,635	0,1325	0,078	-0,326	5,3
3,920	5,672	3,054	-5,454	0,1354	0,073	-0,130	5,0
3,960	5,794	2,836	-8,181	0,1383	0,068	-0,195	4,8
4,000	5,899	2,400	-8,181	0,1408	0,057	-0,195	4,5
4,040	5,986	2,182	2,727	0,1429	0,052	0,065	4,4
4,080	6,074	2,618	13,635	0,1450	0,062	0,326	4,2
4,120	6,196	3,272	10,908	0,1479	0,078	0,260	4,1
4,160	6,336	3,491	8,181	0,1512	0,083	0,195	4,1
4,200	6,475	3,927	5,454	0,1546	0,094	0,130	3,9
4,240	6,650	3,927	-5,454	0,1588	0,094	-0,130	3,9
4,280	6,789	3,491	0,000	0,1621	0,083	0,000	3,7
4,320	6,929	3,927	8,181	0,1654	0,094	0,195	3,6
4,360	7,103	4,145	2,727	0,1696	0,099	0,065	3,5
4,400	7,261	4,145	5,454	0,1733	0,099	0,130	3,4
4,440	7,435	4,581	8,181	0,1775	0,109	0,195	3,3
4,480	7,627	4,800	5,454	0,1821	0,115	0,130	3,3
4,520	7,819	5,018	8,181	0,1867	0,120	0,195	3,1
4,560	8,029	5,454	10,908	0,1917	0,130	0,260	3,1
4,600	8,255	5,890	5,454	0,1971	0,141	0,130	3,0
4,640	8,500	5,890	-10,908	0,2029	0,141	-0,260	2,8
4,680	8,727	5,018	-19,090	0,2083	0,120	-0,456	2,8
4,720	8,901	4,363	-8,181	0,2125	0,104	-0,195	2,7
4,760	9,076	4,363	-2,727	0,2167	0,104	-0,065	2,6
4,800	9,250	4,145	-8,181	0,2208	0,099	-0,195	2,5
4,840	9,407	3,709	-8,181	0,2246	0,089	-0,195	2,4
4,880	9,547	3,491	-2,727	0,2279	0,083	-0,065	2,4
4,920	9,687	3,491	8,181	0,2312	0,083	0,195	2,3
4,960	9,826	4,145	8,181	0,2346	0,099	0,195	2,3
5,000	10,018	4,145	-8,181	0,2392	0,099	-0,195	2,3
5,040	10,158	3,491	-8,181	0,2425	0,083	-0,195	2,2
5,080	10,297	3,491	2,727	0,2458	0,083	0,065	2,2
5,120	10,437	3,709	2,727	0,2492	0,089	0,065	2,2
5,160	10,594	3,709	0,000	0,2529	0,089	1,301E-14	2,1
5,200	10,734	3,709	0,000	0,2562	0,089	0,000	2,1
5,240	10,891	3,709	-8,181	0,2600	0,089	-0,195	2,1
5,280	11,030	3,054	-13,635	0,2633	0,073	-0,326	2,1
5,320	11,135	2,618	-5,454	0,2658	0,062	-0,130	2,1
5,360	11,240	2,618	0,000	0,2683	0,062	0,000	2,0
5,400	11,345	2,618	-2,727	0,2708	0,062	-0,065	2,0
5,440	11,449	2,400	-2,727	0,2733	0,057	-0,065	1,9
5,480	11,537	2,400	0,000	0,2754	0,057	0,000	1,9
5,520	11,641	2,400	-5,454	0,2779	0,057	-0,130	1,9
5,560	11,729	1,963	-8,181	0,2800	0,047	-0,195	1,9
5,600	11,798	1,745	2,720E-13	0,2817	0,042	1,518E-14	1,9
5,640	11,868	1,963	16,362	0,2833	0,047	0,391	1,9
5,680	11,956	3,054	21,817	0,2854	0,073	0,521	1,9
5,720	12,113	3,709	5,454	0,2892	0,089	0,130	1,9
5,760	12,252	3,491	-5,454	0,2925	0,083	-0,130	1,9
5,800	12,392	3,272	-5,454	0,2958	0,078	-0,130	1,9
5,840	12,514	3,054	-2,727	0,2987	0,073	-0,065	1,9
5,880	12,636	3,054	0,000	0,3017	0,073	8,674E-15	1,9
5,920	12,758	3,054	-2,727	0,3046	0,073	-0,065	1,9
5,960	12,881	2,836	-5,454	0,3075	0,068	-0,130	1,8
6,000	12,985	2,618	-2,727	0,3100	0,062	-0,065	1,8
6,040	13,090	2,618	-5,454	0,3125	0,062	-0,130	1,8
6,080	13,195	2,182	-8,181	0,3150	0,052	-0,195	1,8
6,120	13,265	1,963	2,776E-13	0,3167	0,047	0,000	1,8
6,160	13,352	2,182	2,727	0,3187	0,052	0,065	1,8
6,200	13,439	2,182	2,727	0,3208	0,052	0,065	1,8
6,240	13,526	2,400	8,181	0,3229	0,057	0,195	1,8
6,280	13,631	2,836	8,181	0,3254	0,068	0,195	1,8
6,320	13,753	3,054	-2,727	0,3283	0,073	-0,065	1,8
6,360	13,875	2,618	-10,908	0,3312	0,062	-0,260	1,8
6,400	13,963	2,182	-8,181	0,3333	0,052	-0,195	1,8
6,440	14,050	1,963	2,727	0,3354	0,047	0,065	1,8
6,480	14,120	2,400	13,635	0,3371	0,057	0,326	1,8
6,520	14,242	3,054	8,181	0,3400	0,073	0,195	1,8
6,560	14,364	3,054	-2,727	0,3429	0,073	-0,065	1,8
6,600	14,486	2,836	-5,454	0,3458	0,068	-0,130	1,8
6,640	14,591	2,618	-2,727	0,3483	0,063	-0,065	1,8
6,680	14,696	2,618	2,727	0,3508	0,063	0,065	1,8
6,720	14,800	2,836	5,454	0,3533	0,068	0,130	1,7
6,760	14,923	3,054	8,181	0,3562	0,073	0,195	1,7
6,800	15,045	3,491	8,181	0,3592	0,083	0,195	1,7
6,840	15,202	3,709	5,454	0,3629	0,089	0,130	1,7
