Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1
Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
0,000	0,000			0,0000			
0,040	0,000	0,000		0,0000	0,000		
0,080	0,000	0,000	0,000	0,0000	0,000	0,000	70,6
0,120	0,000	0,000	0,000	0,0000	0,000	0,000	70,2
0,160	0,000	0,000	0,000	0,0000	0,000	0,000	71,1
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	71,5
0,240	0,000	0,000	0,000	0,0000	0,000	0,000	71,4
0,280	0,000	0,000	0,000	0,0000	0,000	0,000	70,6
0,320	0,000	0,000	0,000	0,0000	0,000	0,000	71,9
0,360	0,000	0,000	0,000	0,0000	0,000	0,000	70,9
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	72,0
0,440	0,000	0,000	0,000	0,0000	0,000	0,000	71,6
0,480	0,000	0,000	0,000	0,0000	0,000	0,000	70,9
0,520	0,000	0,000	0,000	0,0000	0,000	0,000	70,8
0,560	0,000	0,000	0,000	0,0000	0,000	0,000	70,7
0,600	0,000	0,000	0,000	0,0000	0,000	0,000	70,2
0,640	0,000	0,000	0,000	0,0000	0,000	0,000	69,9
0,680	0,000	0,000	0,000	0,0000	0,000	0,000	69,7
0,720	0,000	0,000	0,000	0,0000	0,000	0,000	69,3
0,760	0,000	0,000	0,000	0,0000	0,000	0,000	69,7
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	69,2
0,840	0,000	0,000	0,000	0,0000	0,000	0,000	69,1
0,880	0,000	0,000	0,000	0,0000	0,000	0,000	69,8
0,920	0,000	0,000	0,000	0,0000	0,000	0,000	68,8
0,960	0,000	0,000	0,000	0,0000	0,000	0,000	68,4
1,000	0,000	0,000	0,000	0,0000	0,000	0,000	68,4
1,040	0,000	0,000	0,000	0,0000	0,000	0,000	67,7
1,080	0,000	0,000	0,000	0,0000	0,000	0,000	68,0
1,120	0,000	0,000	0,000	0,0000	0,000	0,000	67,8
1,160	0,000	0,000	0,000	0,0000	0,000	0,000	67,2
1,200	0,000	0,000	0,000	0,0000	0,000	0,000	66,5
1,240	0,000	0,000	0,000	0,0000	0,000	0,000	66,6
1,280	0,000	0,000	0,000	0,0000	0,000	0,000	66,4
1,320	0,000	0,000	0,000	0,0000	0,000	0,000	65,8
1,360	0,000	0,000	0,000	0,0000	0,000	0,000	65,4
1,400	0,000	0,000	0,000	0,0000	0,000	0,000	65,0
1,440	0,000	0,000	0,000	0,0000	0,000	0,000	64,5
1,480	0,000	0,000	0,000	0,0000	0,000	0,000	63,7
1,520	0,000	0,000	0,000	0,0000	0,000	0,000	63,1
1,560	0,000	0,000	0,000	0,0000	0,000	0,000	61,2
1,600	0,000	0,000	0,000	0,0000	0,000	0,000	60,8
1,640	0,000	0,000	0,000	0,0000	0,000	0,000	61,3
1,680	0,000	0,000	2,727	0,0000	0,000	0,065	60,8
1,720	0,000	0,218	2,727	0,0000	0,005	0,065	59,6
1,760	0,017	0,218	-2,727	4,1667E-4	0,005	-0,065	57,0
1,800	0,017	0,000	-2,727	4,1667E-4	0,000	-0,065	52,9
1,840	0,017	0,000	0,000	4,1667E-4	0,000	0,000	53,3
1,880	0,017	0,000	0,000	4,1667E-4	0,000	0,000	52,3
1,920	0,017	0,000	0,000	4,1667E-4	0,000	0,000	49,2
1,960	0,017	0,000	0,000	4,1667E-4	0,000	0,000	46,3
2,000	0,017	0,000	0,000	4,1667E-4	0,000	0,000	26,0
2,040	0,017	0,000	0,000	4,1667E-4	0,000	0,000	18,2
2,080	0,017	0,000	0,000	4,1667E-4	0,000	0,000	15,8
2,120	0,017	0,000	0,000	4,1667E-4	0,000	0,000	16,2
2,160	0,017	0,000	0,000	4,1667E-4	0,000	0,000	14,6
2,200	0,017	0,000	0,000	4,1667E-4	0,000	0,000	10,8
2,240	0,017	0,000	2,727	4,1667E-4	0,000	0,065	6,8
2,280	0,017	0,218	32,725	4,1667E-4	0,005	0,781	5,2
2,320	0,035	2,618	79,085	8,3333E-4	0,063	1,888	5,1
2,360	0,227	6,545	57,269	0,0054	0,156	1,367	4,9
2,400	0,559	7,199	-24,544	0,0133	0,172	-0,586	4,6
2,440	0,803	4,581	-62,723	0,0192	0,109	-1,497	3,9
2,480	0,925	2,182	-35,452	0,0221	0,052	-0,846	3,2
2,520	0,977	1,745	8,181	0,0233	0,042	0,195	2,8
2,560	1,065	2,836	24,544	0,0254	0,068	0,586	2,6
2,600	1,204	3,709	16,362	0,0287	0,089	0,391	2,6
2,640	1,361	4,145	-3,331E-14	0,0325	0,099	-1,214E-15	2,5
2,680	1,536	3,709	-10,908	0,0367	0,089	-0,260	2,4
2,720	1,658	3,272	3,331E-14	0,0396	0,078	0,000	2,3
2,760	1,798	3,709	10,908	0,0429	0,089	0,260	2,1
2,800	1,955	4,145	16,362	0,0467	0,099	0,391	2,1
2,840	2,129	5,018	21,817	0,0508	0,120	0,521	2,1
2,880	2,356	5,890	16,362	0,0562	0,141	0,391	2,0
2,920	2,601	6,327	2,727	0,0621	0,151	0,065	1,9
2,960	2,862	6,109	-8,181	0,0683	0,146	-0,195	1,8
3,000	3,089	5,672	-8,181	0,0737	0,135	-0,195	1,7
3,040	3,316	5,454	-2,727	0,0792	0,130	-0,065	1,5
3,080	3,526	5,454	2,727	0,0842	0,130	0,065	1,5
3,120	3,752	5,672	5,454	0,0896	0,135	0,130	1,4
3,160	3,979	5,890	2,727	0,0950	0,141	0,065	1,3
3,200	4,224	5,890	-2,727	0,1008	0,141	-0,065	1,2
3,240	4,451	5,672	-6,661E-14	0,1062	0,135	-2,082E-15	1,1
3,280	4,677	5,890	2,554E-13	0,1117	0,141	9,368E-15	1,1
3,320	4,922	5,672	-2,727	0,1175	0,135	-0,065	1,1
3,360	5,131	5,672	5,454	0,1225	0,135	0,130	1,0
3,400	5,376	6,109	10,908	0,1283	0,146	0,260	0,9
3,440	5,620	6,545	21,817	0,1342	0,156	0,521	0,9
3,480	5,899	7,854	21,817	0,1408	0,187	0,521	0,9
3,520	6,248	8,290	-5,454	0,1492	0,198	-0,130	0,8
3,560	6,562	7,418	-19,090	0,1567	0,177	-0,456	0,8
3,600	6,842	6,763	-13,635	0,1633	0,161	-0,326	0,8
3,640	7,103	6,327	-8,181	0,1696	0,151	-0,195	0,7
3,680	7,348	6,109	-1,443E-13	0,1754	0,146	0,000	0,7
3,720	7,592	6,327	13,635	0,1812	0,151	0,326	0,7
3,760	7,854	7,199	19,090	0,1875	0,172	0,456	0,6
3,800	8,168	7,854	19,090	0,1950	0,188	0,456	0,6
3,840	8,482	8,727	21,817	0,2025	0,208	0,521	0,6
3,880	8,866	9,599	-5,995E-13	0,2117	0,229	-1,457E-14	0,6
3,920	9,250	8,727	-19,090	0,2208	0,208	-0,456	0,5
3,960	9,564	8,072	-16,362	0,2283	0,193	-0,391	0,4
4,000	9,896	7,418	-21,817	0,2362	0,177	-0,521	0,4
4,040	10,158	6,327	-19,090	0,2425	0,151	-0,456	0,4
4,080	10,402	5,890	-13,635	0,2483	0,141	-0,326	0,4
4,120	10,629	5,236	-16,362	0,2537	0,125	-0,391	0,4
4,160	10,821	4,581	-13,635	0,2583	0,109	-0,326	0,4
4,200	10,996	4,145	-2,727	0,2625	0,099	-0,065	0,4
4,240	11,153	4,363	10,908	0,2662	0,104	0,260	0,4
4,280	11,345	5,018	16,362	0,2708	0,120	0,391	0,4
4,320	11,554	5,672	8,181	0,2758	0,135	0,195	0,4
4,360	11,798	5,672	-5,454	0,2817	0,135	-0,130	0,4
4,400	12,008	5,236	2,776E-13	0,2867	0,125	8,674E-15	0,3
4,440	12,217	5,672	13,635	0,2917	0,135	0,326	0,4
4,480	12,462	6,327	5,454	0,2975	0,151	0,130	0,4
4,520	12,723	6,109	-5,454	0,3037	0,146	-0,130	0,4
4,560	12,950	5,890	5,662E-13	0,3092	0,141	2,047E-14	0,3
4,600	13,195	6,109	-2,727	0,3150	0,146	-0,065	0,4
4,640	13,439	5,672	-10,908	0,3208	0,135	-0,260	0,3
4,680	13,648	5,236	-5,454	0,3258	0,125	-0,130	0,3
4,720	13,858	5,236	-8,181	0,3308	0,125	-0,195	0,3
4,760	14,067	4,581	-19,090	0,3358	0,109	-0,456	0,3
4,800	14,224	3,709	-8,181	0,3396	0,089	-0,195	0,3
4,840	14,364	3,927	0,000	0,3429	0,094	0,000	0,3
4,880	14,539	3,709	-19,090	0,3471	0,089	-0,456	0,3
4,920	14,661	2,400	-27,271	0,3500	0,057	-0,651	0,2
4,960	14,731	1,527	-10,908	0,3517	0,036	-0,260	0,3
5,000	14,783	1,527	2,727	0,3529	0,036	0,065	0,3
5,040	14,853	1,745	8,181	0,3546	0,042	0,195	0,3
5,080	14,923	2,182	10,908	0,3562	0,052	0,260	0,2
5,120	15,027	2,618	5,454	0,3587	0,062	0,130	0,3
5,160	15,132	2,618	5,454	0,3612	0,062	0,130	0,3
5,200	15,237	3,054	10,908	0,3637	0,073	0,260	0,3
5,240	15,376	3,491	0,000	0,3671	0,083	-8,674E-15	0,3
5,280	15,516	3,054	-19,090	0,3704	0,073	-0,456	0,3
5,320	15,621	1,963	-19,090	0,3729	0,047	-0,456	0,3
5,360	15,673	1,527	10,908	0,3742	0,036	0,260	0,3
5,400	15,743	2,836	49,087	0,3758	0,068	1,172	0,2
5,440	15,900	5,454	54,542	0,3796	0,130	1,302	0,2
5,480	16,179	7,199	13,635	0,3862	0,172	0,326	0,2
5,520	16,476	6,545	-24,544	0,3933	0,156	-0,586	0,3
5,560	16,703	5,236	-21,817	0,3987	0,125	-0,521	0,3
5,600	16,895	4,800	2,727	0,4033	0,115	0,065	0,3
5,640	17,087	5,454	10,908	0,4079	0,130	0,260	0,3
5,680	17,331	5,672	-8,181	0,4137	0,135	-0,195	0,4
5,720	17,541	4,800	-19,090	0,4187	0,115	-0,456	0,3
5,760	17,715	4,145	-2,727	0,4229	0,099	-0,065	0,3
5,800	17,872	4,581	10,908	0,4267	0,109	0,260	0,2
5,840	18,082	5,018	2,727	0,4317	0,120	0,065	0,2
5,880	18,274	4,800	5,551E-13	0,4362	0,115	0,000	0,3
5,920	18,466	5,018	2,727	0,4408	0,120	0,065	0,2
5,960	18,675	5,018	-5,454	0,4458	0,120	-0,130	0,2
6,000	18,867	4,581	-2,727	0,4504	0,109	-0,065	0,2
6,040	19,042	4,800	2,727	0,4546	0,115	0,065	0,2
6,080	19,251	4,800	-8,181	0,4596	0,115	-0,195	0,2
6,120	19,426	4,145	-13,635	0,4637	0,099	-0,326	0,2
6,160	19,583	3,709	-10,908	0,4675	0,089	-0,260	0,2
6,200	19,722	3,272	-10,908	0,4708	0,078	-0,260	0,2
6,240	19,844	2,836	-16,362	0,4737	0,068	-0,391	0,2
6,280	19,949	1,963	-16,362	0,4762	0,047	-0,391	0,2
6,320	20,001	1,527	8,181	0,4775	0,036	0,195	0,2
6,360	20,071	2,618	35,452	0,4792	0,062	0,846	0,2
6,400	20,211	4,363	29,998	0,4825	0,104	0,716	0,2
6,440	20,420	5,018	5,454	0,4875	0,120	0,130	0,2
6,480	20,612	4,800	-2,727	0,4921	0,115	-0,065	0,2
6,520	20,804	4,800	-2,727	0,4967	0,115	-0,065	0,2
6,560	20,996	4,581	2,727	0,5012	0,109	0,065	0,2
6,600	21,171	5,018	16,362	0,5054	0,120	0,391	0,2
6,640	21,398	5,890	16,362	0,5108	0,141	0,391	0,2
6,680	21,642	6,327	5,454	0,5167	0,151	0,130	0,2
6,720	21,904	6,327	-13,635	0,5229	0,151	-0,326	0,2
6,760	22,148	5,236	-21,817	0,5287	0,125	-0,521	0,2
