Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1	Serie N.º 1
Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
0,000	0,000			0,0000			
0,050	0,000	0,000		0,0000	0,000		
0,100	0,000	0,000	0,000	0,0000	0,000	0,000	
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
0,550	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
0,600	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
0,650	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
0,700	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
0,750	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
0,850	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
0,900	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
0,950	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
1,000	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
1,050	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
1,100	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
1,150	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
1,200	0,000	0,000	0,000	0,0000	0,000	0,000	0,0
1,250	0,000	0,000	0,000	0,0000	0,000	0,000	0,1
1,300	0,000	0,000	-1,745	0,0000	0,000	-0,042	0,0
1,350	0,000	-0,175	-20,944	0,0000	-0,004	-0,500	0,1
1,400	-0,017	-2,094	-50,615	-4,1667E-4	-0,050	-1,208	0,0
1,450	-0,209	-5,236	-54,105	-0,0050	-0,125	-1,292	0,1
1,500	-0,541	-7,505	-34,907	-0,0129	-0,179	-0,833	0,1
1,550	-0,960	-8,727	-17,453	-0,0229	-0,208	-0,417	0,1
1,600	-1,414	-9,250	-15,708	-0,0337	-0,221	-0,375	0,0
1,650	-1,885	-10,297	-20,944	-0,0450	-0,246	-0,500	0,1
1,700	-2,443	-11,345	-20,944	-0,0583	-0,271	-0,500	0,1
1,750	-3,019	-12,392	-22,689	-0,0721	-0,296	-0,542	0,1
1,800	-3,683	-13,614	-17,453	-0,0879	-0,325	-0,417	0,1
1,850	-4,381	-14,137	-8,727	-0,1046	-0,337	-0,208	0,2
1,900	-5,096	-14,486	6,981	-0,1217	-0,346	0,167	0,1
1,950	-5,829	-13,439	26,180	-0,1392	-0,321	0,625	0,2
2,000	-6,440	-11,868	29,671	-0,1537	-0,283	0,708	0,3
2,050	-7,016	-10,472	27,925	-0,1675	-0,250	0,667	0,4
2,100	-7,487	-9,076	22,689	-0,1787	-0,217	0,542	0,5
2,150	-7,924	-8,203	13,963	-0,1892	-0,196	0,333	0,6
2,200	-8,308	-7,679	5,236	-0,1983	-0,183	0,125	0,8
2,250	-8,692	-7,679	1,745	-0,2075	-0,183	0,042	0,9
2,300	-9,076	-7,505	5,236	-0,2167	-0,179	0,125	1,2
2,350	-9,442	-7,156	12,217	-0,2254	-0,171	0,292	1,5
2,400	-9,791	-6,283	-1,745	-0,2337	-0,150	-0,042	6,2
2,450	-10,071	-7,330	-29,671	-0,2404	-0,175	-0,708	23,2
2,500	-10,524	-9,250	-24,435	-0,2512	-0,221	-0,583	21,1
2,550	-10,996	-9,774	-15,708	-0,2625	-0,233	-0,375	5,5
2,600	-11,502	-10,821	-19,199	-0,2746	-0,258	-0,458	1,5
2,650	-12,078	-11,694	-10,472	-0,2883	-0,279	-0,250	1,1
2,700	-12,671	-11,868	-1,745	-0,3025	-0,283	-0,042	0,9
2,750	-13,265	-11,868	3,491	-0,3167	-0,283	0,083	0,7
2,800	-13,858	-11,519	12,217	-0,3308	-0,275	0,292	0,6
2,850	-14,416	-10,647	12,217	-0,3442	-0,254	0,292	0,5
2,900	-14,923	-10,297	5,236	-0,3562	-0,246	0,125	0,3
2,950	-15,446	-10,123	1,776E-13	-0,3687	-0,242	0,000	0,2
3,000	-15,935	-10,297	-3,491	-0,3804	-0,246	-0,083	0,2
3,050	-16,476	-10,472	6,981	-0,3933	-0,250	0,167	0,2
3,100	-16,982	-9,599	10,472	-0,4054	-0,229	0,250	0,2
3,150	-17,436	-9,425	-3,491	-0,4162	-0,225	-0,083	0,1
3,200	-17,925	-9,948	-8,727	-0,4279	-0,238	-0,208	0,1
3,250	-18,431	-10,297	-3,491	-0,4400	-0,246	-0,083	0,1
3,300	-18,954	-10,297	3,491	-0,4525	-0,246	0,083	0,1
3,350	-19,460	-9,948	5,236	-0,4646	-0,237	0,125	0,0
3,400	-19,949	-9,774	6,981	-0,4762	-0,233	0,167	0,0
3,450	-20,438	-9,250	15,708	-0,4879	-0,221	0,375	0,0
3,500	-20,874	-8,203	22,689	-0,4983	-0,196	0,542	0,0
3,550	-21,258	-6,981	17,453	-0,5075	-0,167	0,417	0,0
3,600	-21,572	-6,458	-1,745	-0,5150	-0,154	-0,042	0,0
3,650	-21,904	-7,156	-15,708	-0,5229	-0,171	-0,375	0,0
3,700	-22,288	-8,029	-15,708	-0,5321	-0,192	-0,375	0,0
3,750	-22,707	-8,727	-13,963	-0,5421	-0,208	-0,333	0,0
3,800	-23,161	-9,425	-6,981	-0,5529	-0,225	-0,167	0,0
3,850	-23,649	-9,425	1,745	-0,5646	-0,225	0,042	0,0
3,900	-24,103	-9,250	-7,816E-13	-0,5754	-0,221	-2,109E-14	0,0
3,950	-24,574	-9,425	-1,745	-0,5867	-0,225	-0,042	0,0
4,000	-25,045	-9,425	1,745	-0,5979	-0,225	0,042	0,0
4,050	-25,517	-9,250	5,236	-0,6092	-0,221	0,125	0,0
4,100	-25,970	-8,901	1,745	-0,6200	-0,212	0,042	0,0
4,150	-26,407	-9,076	-1,745	-0,6304	-0,217	-0,042	0,0
4,200	-26,878	-9,076	3,491	-0,6417	-0,217	0,083	0,0
4,250	-27,314	-8,727	1,745	-0,6521	-0,208	0,042	0,0
4,300	-27,751	-8,901	-6,981	-0,6625	-0,212	-0,167	0,0
4,350	-28,205	-9,425	-10,472	-0,6733	-0,225	-0,250	0,0
4,400	-28,693	-9,948	-5,236	-0,6850	-0,238	-0,125	0,1
4,450	-29,199	-9,948	-1,745	-0,6971	-0,238	-0,042	0,1
4,500	-29,688	-10,123	5,329E-13	-0,7088	-0,242	3,220E-14	0,0
4,550	-30,212	-9,948	10,472	-0,7212	-0,237	0,250	0,0
4,600	-30,683	-9,076	12,217	-0,7325	-0,217	0,292	0,0
4,650	-31,119	-8,727	5,236	-0,7429	-0,208	0,125	0,0
4,700	-31,556	-8,552	6,981	-0,7533	-0,204	0,167	0,0
4,750	-31,974	-8,029	3,491	-0,7633	-0,192	0,083	0,0
4,800	-32,358	-8,203	-6,981	-0,7725	-0,196	-0,167	0,0
4,850	-32,795	-8,727	-5,236	-0,7829	-0,208	-0,125	0,0
4,900	-33,231	-8,727	-3,491	-0,7933	-0,208	-0,083	0,0
4,950	-33,667	-9,076	-15,708	-0,8038	-0,217	-0,375	0,0
5,000	-34,139	-10,297	-20,944	-0,8150	-0,246	-0,500	0,0
5,050	-34,697	-11,170	-5,236	-0,8283	-0,267	-0,125	0,0
5,100	-35,256	-10,821	10,472	-0,8417	-0,258	0,250	0,1
5,150	-35,779	-10,123	10,472	-0,8542	-0,242	0,250	0,8
5,200	-36,268	-9,774	5,236	-0,8658	-0,233	0,125	0,9
5,250	-36,757	-9,599	1,745	-0,8775	-0,229	0,042	0,1
5,300	-37,228	-9,599	-3,491	-0,8887	-0,229	-0,083	0,0
5,350	-37,717	-9,948	-8,727	-0,9004	-0,238	-0,208	0,0
5,400	-38,223	-10,472	-8,727	-0,9125	-0,250	-0,208	0,0
5,450	-38,764	-10,821	-3,491	-0,9254	-0,258	-0,083	0,0
5,500	-39,305	-10,821	9,592E-13	-0,9383	-0,258	1,221E-14	0,0
5,550	-39,846	-10,821	6,981	-0,9512	-0,258	0,167	-0,1
5,600	-40,387	-10,123	17,453	-0,9642	-0,242	0,417	0,0
5,650	-40,858	-9,076	12,217	-0,9754	-0,217	0,292	0,0
5,700	-41,294	-8,901	3,491	-0,9858	-0,213	0,083	0,0
5,750	-41,748	-8,727	3,491	-0,9967	-0,208	0,083	0,0
5,800	-42,167	-8,552	1,745	-1,0067	-0,204	0,042	0,0
5,850	-42,603	-8,552	-3,491	-1,0171	-0,204	-0,083	0,0
5,900	-43,022	-8,901	-5,236	-1,0271	-0,213	-0,125	0,0
5,950	-43,494	-9,076	-6,981	-1,0383	-0,217	-0,167	-0,1
6,000	-43,930	-9,599	-20,944	-1,0487	-0,229	-0,500	0,0
6,050	-44,454	-11,170	-10,472	-1,0613	-0,267	-0,250	0,0
6,100	-45,047	-10,647	13,963	-1,0754	-0,254	0,333	0,0
6,150	-45,518	-9,774	3,491	-1,0867	-0,233	0,083	-0,1
6,200	-46,024	-10,297	-5,236	-1,0987	-0,246	-0,125	0,0
6,250	-46,548	-10,297	3,491	-1,1112	-0,246	0,083	0,0
6,300	-47,054	-9,948	3,491	-1,1233	-0,238	0,083	0,0
6,350	-47,543	-9,948	6,981	-1,1350	-0,238	0,167	0,0
6,400	-48,049	-9,250	8,727	-1,1471	-0,221	0,208	0,0
6,450	-48,468	-9,076	-3,491	-1,1571	-0,217	-0,083	0,0
6,500	-48,956	-9,599	-5,236	-1,1688	-0,229	-0,125	0,0
6,550	-49,428	-9,599	3,491	-1,1800	-0,229	0,083	-0,1
6,600	-49,916	-9,250	13,963	-1,1917	-0,221	0,333	0,0
6,650	-50,353	-8,203	22,689	-1,2021	-0,196	0,542	0,0
6,700	-50,737	-6,981	10,472	-1,2113	-0,167	0,250	0,0
6,750	-51,051	-7,156	-5,236	-1,2188	-0,171	-0,125	-0,1
6,800	-51,452	-7,505	-1,350E-12	-1,2283	-0,179	-1,527E-14	0,0
6,850	-51,801	-7,156	1,745	-1,2367	-0,171	0,042	0,0
6,900	-52,168	-7,330	-3,491	-1,2454	-0,175	-0,083	0,0
6,950	-52,534	-7,505	-3,491	-1,2542	-0,179	-0,083	0,0
7,000	-52,918	-7,679	-1,745	-1,2633	-0,183	-0,042	-0,1
7,050	-53,302	-7,679	3,491	-1,2725	-0,183	0,083	0,0
7,100	-53,686	-7,330	10,472	-1,2817	-0,175	0,250	-0,1
7,150	-54,035	-6,632	12,217	-1,2900	-0,158	0,292	0,0
7,200	-54,350	-6,109	5,236	-1,2975	-0,146	0,125	-0,1
7,250	-54,646	-6,109	-1,745	-1,3046	-0,146	-0,042	0,0
7,300	-54,960	-6,283	-3,491	-1,3121	-0,150	-0,083	0,0
7,350	-55,275	-6,458	-5,236	-1,3196	-0,154	-0,125	-0,1
7,400	-55,606	-6,807	0,000	-1,3275	-0,162	0,000	0,0
7,450	-55,955	-6,458	10,472	-1,3358	-0,154	0,250	0,0
7,500	-56,252	-5,760	8,727	-1,3429	-0,137	0,208	0,0
7,550	-56,531	-5,585	1,954E-13	-1,3496	-0,133	-3,442E-14	0,0
7,600	-56,810	-5,760	-13,963	-1,3563	-0,138	-0,333	0,0
7,650	-57,107	-6,981	-20,944	-1,3633	-0,167	-0,500	0,0
7,700	-57,509	-7,854	-3,491	-1,3729	-0,188	-0,083	0,0
7,750	-57,893	-7,330	12,217	-1,3821	-0,175	0,292	0,0
