Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
0,000	0,000			0,0000			
0,040	0,000	0,000		0,0000	0,000		
0,080	0,000	0,000	0,000	0,0000	0,000	0,000	97,0
0,120	0,000	0,000	0,000	0,0000	0,000	0,000	96,8
0,160	0,000	0,000	0,000	0,0000	0,000	0,000	96,6
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	96,2
0,240	0,000	0,000	0,000	0,0000	0,000	0,000	96,6
0,280	0,000	0,000	0,000	0,0000	0,000	0,000	96,8
0,320	0,000	0,000	0,000	0,0000	0,000	0,000	96,4
0,360	0,000	0,000	0,000	0,0000	0,000	0,000	96,6
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	96,4
0,440	0,000	0,000	0,000	0,0000	0,000	0,000	96,9
0,480	0,000	0,000	0,000	0,0000	0,000	0,000	96,6
0,520	0,000	0,000	0,000	0,0000	0,000	0,000	96,4
0,560	0,000	0,000	0,000	0,0000	0,000	0,000	96,4
0,600	0,000	0,000	0,000	0,0000	0,000	0,000	96,3
0,640	0,000	0,000	0,000	0,0000	0,000	0,000	96,2
0,680	0,000	0,000	0,000	0,0000	0,000	0,000	95,6
0,720	0,000	0,000	0,000	0,0000	0,000	0,000	95,4
0,760	0,000	0,000	0,000	0,0000	0,000	0,000	95,9
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	96,1
0,840	0,000	0,000	0,000	0,0000	0,000	0,000	96,2
0,880	0,000	0,000	0,000	0,0000	0,000	0,000	96,0
0,920	0,000	0,000	0,000	0,0000	0,000	0,000	95,7
0,960	0,000	0,000	0,000	0,0000	0,000	0,000	95,1
1,000	0,000	0,000	0,000	0,0000	0,000	0,000	95,3
1,040	0,000	0,000	0,000	0,0000	0,000	0,000	95,9
1,080	0,000	0,000	0,000	0,0000	0,000	0,000	96,3
1,120	0,000	0,000	0,000	0,0000	0,000	0,000	96,0
1,160	0,000	0,000	0,000	0,0000	0,000	0,000	95,5
1,200	0,000	0,000	0,000	0,0000	0,000	0,000	96,2
1,240	0,000	0,000	0,000	0,0000	0,000	0,000	96,7
1,280	0,000	0,000	0,000	0,0000	0,000	0,000	96,1
1,320	0,000	0,000	0,000	0,0000	0,000	0,000	95,5
1,360	0,000	0,000	0,000	0,0000	0,000	0,000	95,6
1,400	0,000	0,000	0,000	0,0000	0,000	0,000	96,6
1,440	0,000	0,000	0,000	0,0000	0,000	0,000	96,3
1,480	0,000	0,000	0,000	0,0000	0,000	0,000	96,0
