Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
0,100	0,000	0,000	0,000	0,0000	0,000	0,000	
0,150	0,000	0,000	0,000	0,0000	0,000	0,000	36,0
0,200	0,000	0,000	0,000	0,0000	0,000	0,000	38,3
0,250	0,000	0,000	0,000	0,0000	0,000	0,000	36,5
0,300	0,000	0,000	0,000	0,0000	0,000	0,000	36,7
0,350	0,000	0,000	0,000	0,0000	0,000	0,000	36,2
0,400	0,000	0,000	0,000	0,0000	0,000	0,000	37,0
0,450	0,000	0,000	0,000	0,0000	0,000	0,000	37,2
0,500	0,000	0,000	0,000	0,0000	0,000	0,000	37,1
0,550	0,000	0,000	0,000	0,0000	0,000	0,000	38,6
0,600	0,000	0,000	0,000	0,0000	0,000	0,000	38,3
0,650	0,000	0,000	0,000	0,0000	0,000	0,000	41,1
0,700	0,000	0,000	0,000	0,0000	0,000	0,000	37,6
0,750	0,000	0,000	0,000	0,0000	0,000	0,000	39,9
0,800	0,000	0,000	0,000	0,0000	0,000	0,000	36,3
0,850	0,000	0,000	0,000	0,0000	0,000	0,000	40,4
0,900	0,000	0,000	0,000	0,0000	0,000	0,000	35,6
0,950	0,000	0,000	0,000	0,0000	0,000	0,000	41,0
1,000	0,000	0,000	0,000	0,0000	0,000	0,000	35,3
1,050	0,000	0,000	0,000	0,0000	0,000	0,000	40,1
1,100	0,000	0,000	0,000	0,0000	0,000	0,000	34,2
1,150	0,000	0,000	0,000	0,0000	0,000	0,000	39,8
1,200	0,000	0,000	0,000	0,0000	0,000	0,000	32,7
1,250	0,000	0,000	0,000	0,0000	0,000	0,000	39,6
1,300	0,000	0,000	0,000	0,0000	0,000	0,000	33,1
1,350	0,000	0,000	0,000	0,0000	0,000	0,000	41,3
1,400	0,000	0,000	0,000	0,0000	0,000	0,000	33,0
1,450	0,000	0,000	0,000	0,0000	0,000	0,000	42,2
1,500	0,000	0,000	0,000	0,0000	0,000	0,000	34,5
1,550	0,000	0,000	0,000	0,0000	0,000	0,000	45,0
1,600	0,000	0,000	0,000	0,0000	0,000	0,000	36,3
1,650	0,000	0,000	0,000	0,0000	0,000	0,000	51,1
1,700	0,000	0,000	0,000	0,0000	0,000	0,000	38,4
1,750	0,000	0,000	0,000	0,0000	0,000	0,000	43,0
1,800	0,000	0,000	0,000	0,0000	0,000	0,000	28,1
1,850	0,000	0,000	0,000	0,0000	0,000	0,000	37,2
1,900	0,000	0,000	0,000	0,0000	0,000	0,000	26,0
1,950	0,000	0,000	0,000	0,0000	0,000	0,000	36,0
2,000	0,000	0,000	0,000	0,0000	0,000	0,000	25,3
2,050	0,000	0,000	0,000	0,0000	0,000	0,000	36,9
2,100	0,000	0,000	0,000	0,0000	0,000	0,000	25,1
2,150	0,000	0,000	0,000	0,0000	0,000	0,000	37,1
2,200	0,000	0,000	0,000	0,0000	0,000	0,000	25,5
2,250	0,000	0,000	0,000	0,0000	0,000	0,000	37,7
2,300	0,000	0,000	0,000	0,0000	0,000	0,000	25,3
2,350	0,000	0,000	0,000	0,0000	0,000	0,000	37,9
2,400	0,000	0,000	0,000	0,0000	0,000	0,000	25,1
2,450	0,000	0,000	0,000	0,0000	0,000	0,000	37,7
2,500	0,000	0,000	0,000	0,0000	0,000	0,000	25,1
2,550	0,000	0,000	0,000	0,0000	0,000	0,000	36,9
2,600	0,000	0,000	0,000	0,0000	0,000	0,000	24,9
2,650	0,000	0,000	0,000	0,0000	0,000	0,000	36,7
2,700	0,000	0,000	0,000	0,0000	0,000	0,000	23,4
2,750	0,000	0,000	0,000	0,0000	0,000	0,000	36,7
2,800	0,000	0,000	0,000	0,0000	0,000	0,000	23,0
2,850	0,000	0,000	0,000	0,0000	0,000	0,000	36,0
2,900	0,000	0,000	0,000	0,0000	0,000	0,000	22,9
2,950	0,000	0,000	0,000	0,0000	0,000	0,000	35,5
3,000	0,000	0,000	0,000	0,0000	0,000	0,000	23,2
3,050	0,000	0,000	0,000	0,0000	0,000	0,000	36,8
3,100	0,000	0,000	0,000	0,0000	0,000	0,000	23,6
3,150	0,000	0,000	0,000	0,0000	0,000	0,000	36,9
3,200	0,000	0,000	0,000	0,0000	0,000	0,000	22,7
3,250	0,000	0,000	0,000	0,0000	0,000	0,000	34,6
3,300	0,000	0,000	0,000	0,0000	0,000	0,000	21,0
3,350	0,000	0,000	0,000	0,0000	0,000	0,000	33,3
3,400	0,000	0,000	0,000	0,0000	0,000	0,000	19,9
3,450	0,000	0,000	0,000	0,0000	0,000	0,000	33,6
3,500	0,000	0,000	0,000	0,0000	0,000	0,000	19,7
3,550	0,000	0,000	0,000	0,0000	0,000	0,000	33,3
3,600	0,000	0,000	0,000	0,0000	0,000	0,000	20,3
3,650	0,000	0,000	0,000	0,0000	0,000	0,000	32,8
3,700	0,000	0,000	0,000	0,0000	0,000	0,000	20,0
3,750	0,000	0,000	0,000	0,0000	0,000	0,000	33,0
3,800	0,000	0,000	0,000	0,0000	0,000	0,000	20,3
3,850	0,000	0,000	0,000	0,0000	0,000	0,000	32,0
3,900	0,000	0,000	0,000	0,0000	0,000	0,000	20,5
3,950	0,000	0,000	0,000	0,0000	0,000	0,000	33,2
4,000	0,000	0,000	0,000	0,0000	0,000	0,000	20,8
4,050	0,000	0,000	0,000	0,0000	0,000	0,000	33,2
4,100	0,000	0,000	0,000	0,0000	0,000	0,000	20,7
4,150	0,000	0,000	0,000	0,0000	0,000	0,000	33,8
4,200	0,000	0,000	0,000	0,0000	0,000	0,000	21,0
4,250	0,000	0,000	0,000	0,0000	0,000	0,000	32,8
4,300	0,000	0,000	0,000	0,0000	0,000	0,000	21,3
4,350	0,000	0,000	0,000	0,0000	0,000	0,000	32,8
4,400	0,000	0,000	0,000	0,0000	0,000	0,000	21,4
