Tiempo (s)	ángulo (rad)	Vector velocidad angular (rad/s)	Aceleración angular (rad/s²)	Posición (m)	Vector velocidad (m/s)	Aceleración (m/s²)	Intensidad luminosa (%)
0.100	-0.628	-7.156	-10.472	-0.0150	-0.171	-0.250	0.5
0.150	-0.995	-7.330	-5.236	-0.0237	-0.175	-0.125	0.3
0.200	-1.361	-7.679	-17.453	-0.0325	-0.183	-0.417	0.4
0.250	-1.763	-9.076	-34.907	-0.0421	-0.217	-0.833	0.4
0.300	-2.269	-11.170	-34.907	-0.0542	-0.267	-0.833	0.5
0.350	-2.880	-12.566	-13.963	-0.0687	-0.300	-0.333	0.4
0.400	-3.526	-12.566	3.491	-0.0842	-0.300	0.083	0.5
0.450	-4.136	-12.217	5.236	-0.0987	-0.292	0.125	0.4
0.500	-4.747	-12.043	8.727	-0.1133	-0.288	0.208	0.6
0.550	-5.341	-11.345	8.727	-0.1275	-0.271	0.208	0.5
0.600	-5.882	-11.170	-3.491	-0.1404	-0.267	-0.083	0.5
0.650	-6.458	-11.694	-10.472	-0.1542	-0.279	-0.250	0.5
0.700	-7.051	-12.217	-13.963	-0.1683	-0.292	-0.333	0.6
0.750	-7.679	-13.090	-17.453	-0.1833	-0.312	-0.417	0.5
0.800	-8.360	-13.963	-8.727	-0.1996	-0.333	-0.208	0.5
0.850	-9.076	-13.963	3.491	-0.2167	-0.333	0.083	0.4
0.900	-9.756	-13.614	8.727	-0.2329	-0.325	0.208	0.5
0.950	-10.437	-13.090	6.981	-0.2492	-0.313	0.167	0.4
1.000	-11.065	-12.915	-6.981	-0.2642	-0.308	-0.167	0.5
1.050	-11.729	-13.788	-17.453	-0.2800	-0.329	-0.417	0.3
1.100	-12.444	-14.661	1.776E-13	-0.2971	-0.350	0.000	0.4
1.150	-13.195	-13.788	8.727	-0.3150	-0.329	0.208	0.2
1.200	-13.823	-13.788	-20.944	-0.3300	-0.329	-0.500	0.3
1.250	-14.573	-15.882	-26.180	-0.3479	-0.379	-0.625	0.2
1.300	-15.411	-16.406	-3.491	-0.3679	-0.392	-0.083	0.3
1.350	-16.214	-16.232	-8.727	-0.3871	-0.387	-0.208	0.1
1.400	-17.034	-17.279	-13.963	-0.4067	-0.412	-0.333	0.2
1.450	-17.942	-17.628	-3.491	-0.4283	-0.421	-0.083	0.1
1.500	-18.797	-17.628	-3.491	-0.4487	-0.421	-0.083	0.2
1.550	-19.705	-17.977	1.745	-0.4704	-0.429	0.042	0.1
1.600	-20.595	-17.453	15.708	-0.4917	-0.417	0.375	0.2
