Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
0,000;59,82;0,000;;;0,0000;;
0,020;59,79;0,000;0,000;;0,0000;0,000;
0,040;59,76;0,000;0,000;0,000;0,0000;0,000;0,000
0,060;59,77;0,000;0,000;0,000;0,0000;0,000;0,000
0,080;59,80;0,000;0,000;0,000;0,0000;0,000;0,000
0,100;59,79;0,000;0,000;0,000;0,0000;0,000;0,000
0,120;59,81;0,000;0,000;0,000;0,0000;0,000;0,000
0,140;59,82;0,000;0,000;0,000;0,0000;0,000;0,000
0,160;59,80;0,000;0,000;0,000;0,0000;0,000;0,000
0,180;59,79;0,000;0,000;0,000;0,0000;0,000;0,000
0,200;59,79;0,000;0,000;0,000;0,0000;0,000;0,000
0,220;59,79;0,000;0,000;0,000;0,0000;0,000;0,000
0,240;59,80;0,000;0,000;0,000;0,0000;0,000;0,000
0,260;59,80;0,000;0,000;0,000;0,0000;0,000;0,000
0,280;59,79;0,000;0,000;0,000;0,0000;0,000;0,000
0,300;59,79;0,000;0,000;0,000;0,0000;0,000;0,000
0,320;59,81;0,000;0,000;0,000;0,0000;0,000;0,000
0,340;59,84;0,000;0,000;0,000;0,0000;0,000;0,000
0,360;59,85;0,000;0,000;0,000;0,0000;0,000;0,000
0,380;59,89;0,000;0,000;0,000;0,0000;0,000;0,000
0,400;59,87;0,000;0,000;0,000;0,0000;0,000;0,000
0,420;59,85;0,000;0,000;0,000;0,0000;0,000;0,000
0,440;59,89;0,000;0,000;0,000;0,0000;0,000;0,000
0,460;59,90;0,000;0,000;0,000;0,0000;0,000;0,000
0,480;59,90;0,000;0,000;0,000;0,0000;0,000;0,000
0,500;59,89;0,000;0,000;0,000;0,0000;0,000;0,000
0,520;59,86;0,000;0,000;0,000;0,0000;0,000;0,000
0,540;59,88;0,000;0,000;0,000;0,0000;0,000;0,000
0,560;59,84;0,000;0,000;-10,908;0,0000;0,000;-0,260
0,580;59,84;0,000;-0,436;-21,817;0,0000;-0,010;-0,521
0,600;59,85;-0,017;-0,873;-21,817;-4,1667E-4;-0,021;-0,521
0,620;59,89;-0,035;-1,309;-21,817;-8,3333E-4;-0,031;-0,521
0,640;59,89;-0,070;-1,745;0,000;-0,0017;-0,042;0,000
0,660;59,91;-0,105;-1,309;10,908;-0,0025;-0,031;0,260
0,680;59,90;-0,122;-1,309;-10,908;-0,0029;-0,031;-0,260
0,700;59,90;-0,157;-1,745;-32,725;-0,0037;-0,042;-0,781
0,720;59,90;-0,192;-2,618;-43,633;-0,0046;-0,063;-1,042
0,740;59,89;-0,262;-3,491;-10,908;-0,0062;-0,083;-0,260
0,760;59,83;-0,332;-3,054;-3,331E-14;-0,0079;-0,073;-1,041E-15
0,780;59,82;-0,384;-3,491;0,000;-0,0092;-0,083;6,939E-16
0,800;59,84;-0,471;-3,054;54,542;-0,0112;-0,073;1,302
0,820;59,86;-0,506;-1,309;43,633;-0,0121;-0,031;1,042
0,840;59,89;-0,524;-1,309;-21,817;-0,0125;-0,031;-0,521
0,860;59,90;-0,559;-2,182;-21,817;-0,0133;-0,052;-0,521
0,880;59,92;-0,611;-2,182;0,000;-0,0146;-0,052;-1,214E-15
0,900;59,90;-0,646;-2,182;-10,908;-0,0154;-0,052;-0,260
0,920;59,91;-0,698;-2,618;-10,908;-0,0167;-0,062;-0,260
0,940;59,90;-0,750;-2,618;-2,554E-13;-0,0179;-0,063;-6,592E-15
0,960;59,89;-0,803;-2,618;2,554E-13;-0,0192;-0,063;4,163E-15
0,980;59,92;-0,855;-2,618;21,817;-0,0204;-0,062;0,521
1,000;59,93;-0,908;-1,745;32,725;-0,0217;-0,042;0,781
1,020;59,90;-0,925;-1,309;21,817;-0,0221;-0,031;0,521
1,040;59,93;-0,960;-0,873;10,908;-0,0229;-0,021;0,260
1,060;59,93;-0,960;-0,873;-21,817;-0,0229;-0,021;-0,521
1,080;59,98;-0,995;-1,745;-43,633;-0,0237;-0,042;-1,042
