Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
0,000;66,51;-0,017;;;-4,1667E-4;;
0,020;66,50;-0,035;-1,309;;-8,3333E-4;-0,031;
0,040;66,51;-0,070;-1,309;0,000;-0,0017;-0,031;0,000
0,060;66,52;-0,087;-1,309;-32,725;-0,0021;-0,031;-0,781
0,080;66,50;-0,122;-2,618;-43,633;-0,0029;-0,062;-1,042
0,100;66,47;-0,192;-3,054;-10,908;-0,0046;-0,073;-0,260
0,120;66,48;-0,244;-3,054;-10,908;-0,0058;-0,073;-0,260
0,140;66,53;-0,314;-3,491;-21,817;-0,0075;-0,083;-0,521
0,160;66,52;-0,384;-3,927;-10,908;-0,0092;-0,094;-0,260
0,180;66,52;-0,471;-3,927;3,331E-14;-0,0112;-0,094;1,735E-15
0,200;66,55;-0,541;-3,927;-10,908;-0,0129;-0,094;-0,260
0,220;66,59;-0,628;-4,363;-21,817;-0,0150;-0,104;-0,521
0,240;66,57;-0,716;-4,800;10,908;-0,0171;-0,115;0,260
0,260;66,55;-0,820;-3,927;43,633;-0,0196;-0,094;1,042
0,280;66,60;-0,873;-3,054;-10,908;-0,0208;-0,073;-0,260
0,300;66,62;-0,942;-4,363;-43,633;-0,0225;-0,104;-1,042
0,320;66,62;-1,047;-4,800;0,000;-0,0250;-0,115;0,000
0,340;66,61;-1,134;-4,363;21,817;-0,0271;-0,104;0,521
0,360;66,61;-1,222;-3,927;10,908;-0,0292;-0,094;0,260
0,380;66,58;-1,292;-3,927;0,000;-0,0308;-0,094;-2,082E-15
0,400;66,59;-1,379;-3,927;10,908;-0,0329;-0,094;0,260
0,420;66,62;-1,449;-3,491;10,908;-0,0346;-0,083;0,260
0,440;66,62;-1,518;-3,491;-21,817;-0,0362;-0,083;-0,521
0,460;66,58;-1,588;-4,363;-54,542;-0,0379;-0,104;-1,302
0,480;66,55;-1,693;-5,672;-21,817;-0,0404;-0,135;-0,521
0,500;66,57;-1,815;-5,236;43,633;-0,0433;-0,125;1,042
0,520;66,56;-1,902;-3,927;10,908;-0,0454;-0,094;0,260
0,540;66,53;-1,972;-4,800;-54,542;-0,0471;-0,115;-1,302
0,560;66,54;-2,094;-6,109;-32,725;-0,0500;-0,146;-0,781
0,580;66,57;-2,217;-6,109;10,908;-0,0529;-0,146;0,260
0,600;66,56;-2,339;-5,672;6,883E-13;-0,0558;-0,135;1,457E-14
0,620;66,58;-2,443;-6,109;-32,725;-0,0583;-0,146;-0,781
0,640;66,60;-2,583;-6,981;-21,817;-0,0617;-0,167;-0,521
0,660;66,62;-2,723;-6,981;10,908;-0,0650;-0,167;0,260
0,680;66,59;-2,862;-6,545;21,817;-0,0683;-0,156;0,521
0,700;66,58;-2,985;-6,109;-10,908;-0,0712;-0,146;-0,260
0,720;66,58;-3,107;-6,981;-43,633;-0,0742;-0,167;-1,042
0,740;66,56;-3,264;-7,854;10,908;-0,0779;-0,187;0,260
0,760;66,58;-3,421;-6,545;65,450;-0,0817;-0,156;1,563
0,780;66,64;-3,526;-5,236;32,725;-0,0842;-0,125;0,781
0,800;66,64;-3,630;-5,236;-10,908;-0,0867;-0,125;-0,260
0,820;66,64;-3,735;-5,672;-10,908;-0,0892;-0,135;-0,260
0,840;66,67;-3,857;-5,672;10,908;-0,0921;-0,135;0,260
0,860;66,69;-3,962;-5,236;10,908;-0,0946;-0,125;0,260
0,880;66,66;-4,067;-5,236;-2,887E-13;-0,0971;-0,125;0,000
0,900;66,68;-4,171;-5,236;10,908;-0,0996;-0,125;0,260
0,920;66,70;-4,276;-4,800;21,817;-0,1021;-0,115;0,521
0,940;66,69;-4,363;-4,363;10,908;-0,1042;-0,104;0,260
0,960;66,74;-4,451;-4,363;2,887E-13;-0,1062;-0,104;7,286E-15
0,980;66,75;-4,538;-4,363;2,887E-13;-0,1083;-0,104;7,286E-15
1,000;66,79;-4,625;-4,363;10,908;-0,1104;-0,104;0,260
1,020;66,82;-4,712;-3,927;10,908;-0,1125;-0,094;0,260
1,040;66,90;-4,782;-3,927;-21,817;-0,1142;-0,094;-0,521
1,060;66,93;-4,869;-4,800;-32,725;-0,1162;-0,115;-0,781
1,080;66,97;-4,974;-5,236;-21,817;-0,1187;-0,125;-0,521
1,100;66,98;-5,079;-5,672;-10,908;-0,1212;-0,135;-0,260
1,120;67,06;-5,201;-5,672;10,908;-0,1242;-0,135;0,260
1,140;67,11;-5,306;-5,236;10,908;-0,1267;-0,125;0,260
1,160;67,19;-5,411;-5,236;1,554E-13;-0,1292;-0,125;9,021E-15
1,180;67,30;-5,515;-5,236;7,105E-13;-0,1317;-0,125;1,735E-14
1,200;67,38;-5,620;-5,236;21,817;-0,1342;-0,125;0,521
1,220;67,49;-5,725;-4,363;32,725;-0,1367;-0,104;0,781
1,240;67,60;-5,794;-3,927;0,000;-0,1383;-0,094;1,735E-14
1,260;67,73;-5,882;-4,363;-5,551E-13;-0,1404;-0,104;0,000
1,280;67,88;-5,969;-3,927;10,908;-0,1425;-0,094;0,260
1,300;68,15;-6,039;-3,927;0,000;-0,1442;-0,094;0,000
1,320;68,35;-6,126;-3,927;5,551E-13;-0,1462;-0,094;0,000
1,340;68,60;-6,196;-3,927;-10,908;-0,1479;-0,094;-0,260
1,360;68,81;-6,283;-4,363;-32,725;-0,1500;-0,104;-0,781
1,380;69,09;-6,370;-5,236;-21,817;-0,1521;-0,125;-0,521
1,400;69,56;-6,493;-5,236;-7,105E-13;-0,1550;-0,125;0,000
