Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1;Serie N.º 1
Tiempo (s);Intensidad relativa (%);ángulo (rad);Vector velocidad angular (rad/s);Aceleración angular (rad/s²);Posición (m);Vector velocidad (m/s);Aceleración (m/s²)
0,000;69,06;0,000;;;0,0000;;
0,020;69,05;0,000;0,000;;0,0000;0,000;
0,040;69,05;0,000;0,000;0,000;0,0000;0,000;0,000
0,060;69,05;0,000;0,000;0,000;0,0000;0,000;0,000
0,080;69,01;0,000;0,000;0,000;0,0000;0,000;0,000
0,100;69,01;0,000;0,000;0,000;0,0000;0,000;0,000
0,120;69,02;0,000;0,000;0,000;0,0000;0,000;0,000
0,140;69,02;0,000;0,000;0,000;0,0000;0,000;0,000
0,160;69,09;0,000;0,000;0,000;0,0000;0,000;0,000
0,180;69,07;0,000;0,000;0,000;0,0000;0,000;0,000
0,200;69,04;0,000;0,000;0,000;0,0000;0,000;0,000
0,220;69,06;0,000;0,000;0,000;0,0000;0,000;0,000
0,240;69,06;0,000;0,000;0,000;0,0000;0,000;0,000
0,260;69,04;0,000;0,000;0,000;0,0000;0,000;0,000
0,280;68,99;0,000;0,000;0,000;0,0000;0,000;0,000
0,300;69,00;0,000;0,000;0,000;0,0000;0,000;0,000
0,320;69,01;0,000;0,000;0,000;0,0000;0,000;0,000
0,340;69,02;0,000;0,000;0,000;0,0000;0,000;0,000
0,360;69,03;0,000;0,000;0,000;0,0000;0,000;0,000
0,380;69,03;0,000;0,000;0,000;0,0000;0,000;0,000
0,400;69,08;0,000;0,000;0,000;0,0000;0,000;0,000
0,420;69,08;0,000;0,000;0,000;0,0000;0,000;0,000
0,440;69,09;0,000;0,000;0,000;0,0000;0,000;0,000
0,460;69,09;0,000;0,000;0,000;0,0000;0,000;0,000
0,480;69,07;0,000;0,000;0,000;0,0000;0,000;0,000
0,500;69,03;0,000;0,000;0,000;0,0000;0,000;0,000
0,520;68,98;0,000;0,000;0,000;0,0000;0,000;0,000
0,540;69,00;0,000;0,000;0,000;0,0000;0,000;0,000
0,560;69,06;0,000;0,000;0,000;0,0000;0,000;0,000
0,580;69,06;0,000;0,000;0,000;0,0000;0,000;0,000
0,600;69,07;0,000;0,000;0,000;0,0000;0,000;0,000
0,620;69,09;0,000;0,000;0,000;0,0000;0,000;0,000
0,640;69,05;0,000;0,000;0,000;0,0000;0,000;0,000
0,660;68,99;0,000;0,000;0,000;0,0000;0,000;0,000
0,680;68,99;0,000;0,000;0,000;0,0000;0,000;0,000
0,700;69,02;0,000;0,000;0,000;0,0000;0,000;0,000
0,720;69,04;0,000;0,000;0,000;0,0000;0,000;0,000
0,740;69,02;0,000;0,000;0,000;0,0000;0,000;0,000
0,760;68,99;0,000;0,000;0,000;0,0000;0,000;0,000
0,780;68,99;0,000;0,000;0,000;0,0000;0,000;0,000
0,800;69,00;0,000;0,000;0,000;0,0000;0,000;0,000
0,820;69,02;0,000;0,000;0,000;0,0000;0,000;0,000
0,840;69,03;0,000;0,000;0,000;0,0000;0,000;0,000
